"10 om te zien" 	50.6402809 4.6667145
"Agatha Christie\'s Poirot" 	51.44705265 0.04791081946563762
"Agatha Christie\'s Poirot" 	51.5073219 -0.1276474
"Agatha Christie\'s Poirot" 	38.9953683 21.9877132
"Agatha Christie\'s Poirot" 	51.546055800000005 -0.2537791389340719
"Agatha Christie\'s Poirot" 	51.3957695 -0.448532
"Agatha Christie\'s Poirot" 	51.5073219 -0.1276474
"Agro\'s Cartoon Connection" 	-33.8536692 151.2133527
"Ai Life" 	38.7077507 -9.1365919
"Alien Nation" 	36.773557 -121.737165
"America\'s Funniest Home Videos" 	39.7837304 -100.4458825
"America\'s Funniest Home Videos" 	33.8915985 -118.3951241
"America\'s Funniest Home Videos" 	39.7837304 -100.4458825
"America\'s Funniest Home Videos" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	39.7837304 -100.4458825
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.0536909 -118.2427666
"American Gladiators" 	34.1412926 -118.3584364
"American Gladiators" 	34.0536909 -118.2427666
