"	-34.9964963 -64.9672817
"100 Deeds for Eddie McDowd" 	34.1338751 -117.9056046
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
"Angel" 	39.7837304 -100.4458825
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	34.0536909 -118.2427666
"Angel" 	39.7837304 -100.4458825
