"\'More strasti\'" 	42.9868853 19.5180992
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Andromeda" 	49.2608724 -123.1139529
"Angelica pecado" 	8.0018709 -66.1109318
"Animal Park" 	51.25 -1.916667
"Animal Park" 	54.7023545 -3.2765753
"Anke" 	50.938361 6.959974
"Anna Karenina" 	60.1457064 24.9888603
"Anna Karenina" 	52.2337172 21.07141112883227
"Anne of Green Gables: The Continuing Story" 	43.904216149999996 -78.867903675
"Anne of Green Gables: The Continuing Story" 	43.951058 -78.292007
"Anne of Green Gables: The Continuing Story" 	43.653963 -79.387207
"Anne of Green Gables: The Continuing Story" 	44.107556 -79.127655
"Anne of Green Gables: The Continuing Story" 	43.3198088 -80.1428933
"Anne of Green Gables: The Continuing Story" 	43.3198088 -80.1428933
