"1-800-Missing" 	43.66996435 -79.33452913814912
"Alegria" 	39.3262345 -4.8380649
"Alegria" 	39.3262345 -4.8380649
"Alegrijes y rebujos" 	19.4326296 -99.1331785
"Alegrijes y rebujos" 	34.0536909 -118.2427666
"Alexandria" 	41.3828939 2.1774322
"Alienated" 	48.4283182 -123.3649533
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All About the Andersons" 	39.7837304 -100.4458825
"All of Us" 	34.1816482 -118.3258554
"Amar otra vez" 	19.4326296 -99.1331785
"Amar otra vez" 	19.4326296 -99.1331785
"Ambush Makeover" 	33.7490987 -84.3901849
"Ambush Makeover" 	41.8755616 -87.6244212
"Ambush Makeover" 	32.7762719 -96.7968559
"Ambush Makeover" 	39.7348381 -104.9653271
"Ambush Makeover" 	39.7683331 -86.1583502
"Ambush Makeover" 	25.7742658 -80.1936589
"Ambush Makeover" 	44.9772995 -93.2654692
"Ambush Makeover" 	40.7127281 -74.0060152
"Ambush Makeover" 	39.9527237 -75.1635262
"Ambush Makeover" 	33.4484367 -112.0741417
"Ambush Makeover" 	40.3492744 -74.6592958
"Ambush Makeover" 	38.8948932 -77.0365529
"America\'s Most Talented Kid" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	52.3727598 4.8936041
"America\'s Next Top Model" 	13.7542529 100.493087
"America\'s Next Top Model" 	41.3828939 2.1774322
"America\'s Next Top Model" 	35.000074 104.999927
"America\'s Next Top Model" 	-33.928992 18.417396
"America\'s Next Top Model" 	51.5073219 -0.1276474
"America\'s Next Top Model" 	34.0536909 -118.2427666
"America\'s Next Top Model" 	45.4668 9.1905
"America\'s Next Top Model" 	48.8566969 2.3514616
"America\'s Next Top Model" 	41.8933203 12.4829321
"America\'s Next Top Model" 	31.2322758 121.4692071
