"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Broke Girls" 	34.1816482 -118.3258554
"2 Hollywood" 	50.8436709 4.3674366933879565
"2 Hollywood" 	34.093214 -118.3196124
"20 Dollar" 	34.0536909 -118.2427666
"20 Years of Independence" 	41.9960924 21.4316495
"2011 Stanley Cup Finals" 	42.3602534 -71.0582912
"2011 Stanley Cup Finals" 	49.2779085 -123.10894170979472
"2011 Stanley Cup Finals" 	42.3544455 -70.9788771
"2011 Stanley Cup Finals" 	49.2608724 -123.1139529
"2011 Stanley Cup Finals" 	49.2608724 -123.1139529
"2011 Stanley Cup Finals" 	49.2608724 -123.1139529
"2011 Stanley Cup Finals" 	42.3602534 -71.0582912
"2011 Stanley Cup Finals" 	42.3602534 -71.0582912
"2011 Stanley Cup Finals" 	49.2608724 -123.1139529
"2011 Stanley Cup Finals" 	42.3602534 -71.0582912
"2011 Stanley Cup Finals" 	49.2608724 -123.1139529
"2011 World Series" 	38.6268039 -90.1994097
"2011 World Series" 	32.7513904 -97.08347649984134
"2011 World Series" 	38.6268039 -90.1994097
"2011 World Series" 	38.6268039 -90.1994097
"2011 World Series" 	32.7513904 -97.08347649984134
"2011 World Series" 	32.7513904 -97.08347649984134
"2011 World Series" 	32.7513904 -97.08347649984134
